channel,mean_tau,mean_radius,mean_anisotropy,mean_participation_dim,mean_corr_dim,mean_lyap_proxy,mean_recurrence_rate,mean_determinism,mean_sample_entropy,candidate_onset_time_sec,transition_strength
AH1,12.2058823529412,1.41225463233442,3.63562653657105,2.40665340743611,2.01481126753374,11.6901583550178,0.0919113525048887,0.535779468811619,1.66701952147993,0.499249333333333,1.06489990043135
AH2,13.2941176470588,1.34229265953807,5.05172826516498,2.24426797088539,1.93207731758905,9.37496716735996,0.0917796338680283,0.505670644178386,1.67439501726598,0.249133333333333,1.52394921935077
AH3,15.0882352941176,1.16753077953168,9.1802378026865,2.1543402635718,1.71388025419328,7.72470450859195,0.0915428776427629,0.484167180225156,1.46004355628063,0.249133333333333,1.46258481237266
AH4,11.8235294117647,1.12319163609068,10.1326053457443,2.1187322695879,1.7561544034485,8.54170644140754,0.0919763516606187,0.516126377048996,1.48358613252277,0.349166666666667,1.16085289384816
AH5,12.8235294117647,1.24249793310372,11.2332411910069,2.12961077369217,1.73766144624451,13.7470002045995,0.0918292263159208,0.570610705907817,1.47578508699904,0.599299333333333,1.03901000335065
AH6,14.3235294117647,1.28893598599455,12.2884061781609,2.18021656072484,1.61912098434835,10.8467434574576,0.0916572612912979,0.583912800022389,1.2904870776521,0.1991,0.786481125769477
AH7,17.7647058823529,1.21093604326099,41.725421932092,1.9222303824137,1.31129840346738,18.426581348261,0.091087144314773,0.71373728207035,0.928416294049317,0.499249333333333,0.907256161423381
AH8,15.2647058823529,1.0552180418882,109.422767116064,1.61514894604135,1.17501957511766,23.3799721193331,0.0914172065025955,0.800131187955181,0.643815749157922,0.349166666666667,1.04610577253736
AH9,14.8823529411765,1.05763978689721,15.6614755652115,1.99152846466104,1.67331547333854,9.40652157755839,0.0914792729284554,0.505492442944258,1.31488827449736,0.399199333333333,0.854328393350601
AH10,10.5882352941176,1.0756878084056,7.76847416816456,2.18991932448632,1.93782906445629,13.2093826444071,0.0920675547529844,0.541896352013008,1.67556311975827,0.549266,0.566823809571958
PH1,14.7941176470588,1.15733577233939,8.96394714923083,2.13506784871914,1.82835597056304,8.26141705750163,0.0915543570797506,0.48792638355611,1.63367959748502,0.599299333333333,0.70712650181856
PH2,16.1764705882353,1.25923093936138,11.5455167756667,2.17661454557728,1.7257119601015,9.03114390653796,0.0913865022209173,0.570683708605149,1.39263884881094,0.249133333333333,1.41758573351982
PH3,17.2941176470588,1.14016265177766,14.7765226189505,2.08502271137265,1.62142090069758,7.53904010032662,0.0911876789222563,0.601657808623552,1.30697116562958,0.599299333333333,0.93179369218518
PH4,16.4705882352941,1.10650735881089,12.0259837694806,1.97852984525169,1.69830795452229,8.68771030362926,0.091304616804885,0.556623384414199,1.30206911752225,0.69935,0.621297621519484
BO1,11.2941176470588,1.21386403968663,3.83921463604319,2.42709707958512,1.88290532465042,14.4090661042244,0.0921087714154532,0.681247265608757,1.34469542961192,0.599299333333333,1.45045551896115
BO2,16.5882352941176,0.647356761580167,8.40564586854775,2.18236661541556,1.75024573276853,12.0744250023463,0.0912696217666673,0.674525034406642,1.18037138051245,0.1991,1.11583144867279
BO3,14.7941176470588,0.957004011844466,8.23453240830355,2.18463529576516,1.62581402636302,17.3770346409969,0.0915961733128648,0.75392936109505,0.999276783305957,1.1996,1.63774621941304
BO4,13.2647058823529,1.2768888008631,7.06900249276597,2.32331054388323,1.72778618021175,13.4050603335813,0.0918415291990781,0.625209185946986,1.29995344850807,0.1991,1.07786092555415
